id,dimension,tier,weight,statement,rater1,rater2,rater3,notes
G1a,gate,gate,,"With art, story, meta-progression and juice stripped or toggled off, the 30-second core loop is still worth repeating.",,,,
G2a,gate,gate,,The game contains a recurring choice whose best answer is neither obvious nor a blind guess.,,,,
G2b,gate,gate,,That choice has stakes the target player cares about.,,,,
1.1a,Learning & mastery,functional,20,"New patterns, tools or situations that demand new learning keep appearing until the end of the runtime.",,,,
1.1b,Learning & mastery,functional,20,"The game exercises at least two distinct challenge types (cognitive, performative, emotional, decision-making).",,,,
1.1c,Learning & mastery,functional,20,Known strategies have counter-situations that punish rote repetition.,,,,
1.2a,Learning & mastery,functional,20,Skills learned early are prerequisites that unlock visibly new abilities or situations later.,,,,
1.2b,Learning & mastery,functional,20,Mastering one system makes sibling systems faster to learn.,,,,
1.3a,Learning & mastery,functional,20,"After a failure, the player can say specifically what to do differently next time.",,,,
1.3b,Learning & mastery,functional,20,The game shows progress toward mastery clearly enough that improvement is felt without checking menus.,,,,
1.3c,Learning & mastery,functional,20,"Post-play review of what happened (replays, run summaries) is available.",,,,
1.4a,Learning & mastery,functional,20,A spectator could tell a skilled player from a novice within a minute of watching.,,,,
1.4b,Learning & mastery,functional,20,The strongest feedback moments are attached to the actions that define skill in this game.,,,,
1.5a,Learning & mastery,functional,20,"There is no single build, route or strategy that makes other options pointless.",,,,
2.1a,Agency & meaningful choice,psychosocial,15,"Interesting decisions occur inside the core loop itself, not only in pause menus.",,,,
2.1b,Agency & meaningful choice,psychosocial,15,Making those decisions does not interrupt the flow of play.,,,,
2.2a,Agency & meaningful choice,psychosocial,15,"Choices are trade-offs between goods, not puzzles with one right answer.",,,,
2.2b,Agency & meaningful choice,psychosocial,15,"Players argue with each other about the best build, route or approach.",,,,
2.3a,Agency & meaningful choice,psychosocial,15,The consequences of earlier choices remain visible and traceable later.,,,,
2.3b,Agency & meaningful choice,psychosocial,15,"The game gives enough foresight that an early, persistent choice cannot silently ruin a run.",,,,
2.4a,Agency & meaningful choice,psychosocial,15,The same obstacle can be beaten in more than one valid way.,,,,
2.4b,Agency & meaningful choice,psychosocial,15,Approaches the designers did not plan for still work.,,,,
2.5a,Agency & meaningful choice,psychosocial,15,The target player can set and pursue goals of their own inside the structure.,,,,
2.5b,Agency & meaningful choice,psychosocial,15,The player is never forced through long stretches of actions they did not choose.,,,,
2.6a,Agency & meaningful choice,psychosocial,15,"The game's combination of goals, abilities and constraints feels like a specific way of being, recognisably different from other games.",,,,
2.6b,Agency & meaningful choice,psychosocial,15,"Players describe the game by what it lets them do, not by its genre label.",,,,
3.1a,Challenge-skill balance & flow,functional,15,"Difficulty rises and falls in waves, guaranteeing both failures and successes on the way up.",,,,
3.1b,Challenge-skill balance & flow,functional,15,"The player can adjust effective difficulty from inside play (which fight, depth or route to take), not only from a settings menu.",,,,
3.1c,Challenge-skill balance & flow,functional,15,Each challenge type the game uses is separately well-calibrated.,,,,
3.1d,Challenge-skill balance & flow,functional,15,Opposition is neither trivially weak nor illegitimately advantaged.,,,,
3.2a,Challenge-skill balance & flow,functional,15,Losing costs enough to matter but little enough that the player wants to retry immediately.,,,,
3.2b,Challenge-skill balance & flow,functional,15,Failure never forces long mechanical replay of already-mastered content.,,,,
3.2c,Challenge-skill balance & flow,functional,15,The player is never left with no way to finish (hopelessness).,,,,
3.3a,Challenge-skill balance & flow,functional,15,Inputs map so reliably to outcomes that players blame themselves for failure — and are right to.,,,,
3.3b,Challenge-skill balance & flow,functional,15,"Random events resolve after the player's decision (affecting outcomes), not before it (invalidating plans).",,,,
3.4a,Challenge-skill balance & flow,functional,15,"Play is continuous: interruptions are player-initiated, not imposed.",,,,
3.4b,Challenge-skill balance & flow,functional,15,The workload is high but within the player's perceptual and cognitive limits.,,,,
3.4c,Challenge-skill balance & flow,functional,15,No task the game demands feels unimportant.,,,,
3.5a,Challenge-skill balance & flow,functional,15,At the end of a loop there is always a concrete reason to play one more.,,,,
3.5b,Challenge-skill balance & flow,functional,15,The game also offers natural stopping points where quitting feels clean.,,,,
3.5c,Challenge-skill balance & flow,functional,15,The pull to continue coexists with high autonomy/competence satisfaction — it does not substitute for it.,,,,
4.1a,Feel & feedback,functional,15,"Controls respond within the timing the game's actions demand (latency, buffering, cancel windows).",,,,
4.2a,Feel & feedback,functional,15,"Every input is acknowledged instantly, at minimum with sound.",,,,
4.2b,Feel & feedback,functional,15,The state change caused by an action is readable before any embellishment plays.,,,,
4.2c,Feel & feedback,functional,15,"Feedback strength scales with actual accomplishment, not with mere activity.",,,,
4.2d,Feel & feedback,functional,15,Layered juice stops short of obscuring what the player caused.,,,,
4.3a,Feel & feedback,functional,15,Objects move with believable weight and momentum.,,,,
4.3b,Feel & feedback,functional,15,The core movement or manipulation is pleasant with no goal at all.,,,,
4.4a,Feel & feedback,functional,15,"Health, resources and threats are readable at a glance during action.",,,,
